logo,name,description,year_founded,website,industries,stage,email,founders,funding,funding_unit
,Biochite,Sustainable bioplastic solution to replace agricultural plastics ,2018,https://biochite.com,Agriculture,Pre-product,info@biochite.com,Kimberly Bolton,,
,Go personal,Making personalised videos,,https://gopersonal.com.au,,Pre-launch,,Marina Lyshova,,
,Sponta,An online adventure marketplace for individuals to find and book activities with like-minded people and allows people to host unique events and earn money,,https://www.sponta.com.au,Tourism,Launch,,Elena Korolkova,,
,Mission Systems,Creating the worlds smallest radar for drones and autonomous systems TinySAR,,,,,,"David Battle, David Johnson ",,
,Red Belly Blockchain,"Blockchain technology to enable secure, high-volume transactions",,http://redbellyblockchain.io,FinTech,,csrg.sydney@gmail.com,Tyler Crain ,,
,Tribefire,,,https://tribefire.co,Retail,,info@tribefire.co,Daniel Palmer,,
,VLO Medical,Internet-of-medical-things which helps monitor and treat lymphedema in real time,,https://vlomedical.com,Internet of Things,,marco@vlomedical.com,Marco Lam,,
,APS Automated Process Synthesis Co,Using AI to design chemical processes,2016,https://www.apsyn.com.au,Artificial Intelligence,,info@apsyn.com.au,,,
,Education Link,Education sales platform and CRM for intl education agencies,,http://geteducation.link,Education,Launch,,,,
,Mutu by Somnium Labs,Customisable pillow to alleviate neck pain,2016,https://www.kickstarter.com/projects/549410755/the-mutu-pillow-by-somnium-labs,Health Care,Pre-product,,,,
,AMSL Aero,VTOL vehicles,,,Transportation,,,,,
,Learned Hub,Customised and adaptive maths learning using data analytics,,,Education,,,,,
,Space Ops,Launch provider for small satellites,2017,http://spaceops.com.au,Advertising,,contact@spaceops.com.au,,,
,StatusZero,"Statuszero is an applicant filtering tool which allows recruiters to narrow down to applicants from specific backgrounds and consider overlooked, atypical candidates while factoring in their potential impact on an existing team's dynamic.",2018,https://www.statuszero.io/,Human Resources,Pre-product,,Robert Hua,,
,V-KAIWA,,2017,http://www.v-kaiwa.com/,Education,Launch,,Seiya Takeda,,
,Qubit Protocol,A governance platform for funding Quantum technology startups.,2018,http://qubitprotocol.com/,FinTech,Pre-product,,Ajay Prakash,,
,Oaklas,Dynamic pricing for retail.,2017,https://oaklas.com/,E-Commerce,Pre-launch,,,,
,Delkit,Australia’s First On-Demand Camera & Gear Service,2017,http://delkit.com.au/,Marketplace,Pre-product,,Anthony Sobbi,,
,MiniEpi,"MiniEpi is a compact pocket-sized adrenaline auto-injector used to treat life-threatening allergic reactions. It is specially designed and crafted to integrate into the daily lives of allergy sufferers as would other items such as a phone, key set or wallet.",2017,http://miniepi.com.au/,Health Care,Pre-launch,,,,
